model_id	sample_id	sample_origin	passage	host_strain_nomenclature	platform_id
TM01295	TM01295_PT	patient		NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000095054	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00001	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM01220	TM01220_PT	patient		NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM01340	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00020	Not Specified	xenograft	P3	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00222	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM01477	Not Specified	xenograft	P2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00185	TM00185_PT	patient		NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM01145	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00381	TM00381_PT	patient		NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00204	Not Specified	xenograft	P1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM01002	Not Specified	xenograft	P3	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000099327	J000099327_PT	patient		NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00335	Not Specified	xenograft	P6	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00390	TM00390_PT	patient		NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00367	TM00367_PT	patient		NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00064	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM01477	Not Specified	xenograft	Not Specified	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000112414	Not Specified	xenograft	P2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00023	TM00023_PT	patient		NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000099873	Not Specified	xenograft	Not Specified	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00107	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000105561	Not Specified	xenograft	P1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM01078	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00210	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00222	Not Specified	xenograft	P1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM01130	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM01617	Not Specified	xenograft	P2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00352	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00001	Not Specified	xenograft	P1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00857	Not Specified	xenograft	P2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000101005	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM01078	TM01078_PT	patient		NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00176	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM01079	Not Specified	xenograft	Not Specified	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM01263	TM01263_PT	patient		NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM01477	Not Specified	xenograft	P3	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00231	TM00231_PT	patient		NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000112414	Not Specified	xenograft	P1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000095054	Not Specified	xenograft	P1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00273	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000080739	Not Specified	xenograft	P1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00097	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00052	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000108112	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM01386	Not Specified	xenograft	P2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00784	Not Specified	xenograft	P1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000079378	Not Specified	xenograft	P2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000108157	J000108157_PT	patient		NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000101006	J000101006_PT	patient		NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00881	Not Specified	xenograft	P1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000108112	Not Specified	xenograft	P1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00193	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000098169	J000098169_PT	patient		NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000099761	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00228	TM00228_PT	patient		NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM01243	Not Specified	xenograft	P1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM01150	TM01150_PT	patient		NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM01085	Not Specified	xenograft	P2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00309	TM00309_PT	patient		NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00256	Not Specified	xenograft	P2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00893	Not Specified	xenograft	P1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM01100	Not Specified	xenograft	P1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM01148	TM01148_PT	patient		NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM01426	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000099999	Not Specified	xenograft	P1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000079378	J000079378_PT	patient		NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM01096	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00165	TM00165_PT	patient		NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM01510	Not Specified	xenograft	P2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00084	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00203	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000103634	Not Specified	xenograft	P1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM01273	Not Specified	xenograft	P1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000079378	Not Specified	xenograft	P1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM01100	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00222	TM00222_PT	patient		NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00098	Not Specified	xenograft	P2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM01569	Not Specified	xenograft	P1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00017	TM00017_PT	patient		NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00240	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00939	Not Specified	xenograft	Not Specified	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00256	Not Specified	xenograft	P3	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00335	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000080739	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000101121	Not Specified	xenograft	P1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000101892	Not Specified	xenograft	P2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00203	Not Specified	xenograft	P1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000101866	Not Specified	xenograft	P1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00385	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00202	TM00202_PT	patient		NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000106172	J000106172_PT	patient		NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM01273	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00999	Not Specified	xenograft	P3	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00141	TM00141_PT	patient		NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000099999	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000078366	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00064	Not Specified	xenograft	P2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00274	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000078366	Not Specified	xenograft	P1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00246	TM00246_PT	patient		NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000079378	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM01510	Not Specified	xenograft	P3	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM01125	Not Specified	xenograft	P1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000100675	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00351	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM01479	Not Specified	xenograft	P1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM01353	TM01353_PT	patient		NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM01243	Not Specified	xenograft	P2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000103634	Not Specified	xenograft	P2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000101220	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000105561	Not Specified	xenograft	P2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00290	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00317	Not Specified	xenograft	P2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00113	Not Specified	xenograft	P1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00096	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000111428	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000102630	Not Specified	xenograft	Not Specified	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000104096	Not Specified	xenograft	P3	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00031	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000109799	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00214	TM00214_PT	patient		NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00016	Not Specified	xenograft	P2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000109799	Not Specified	xenograft	P1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00372	TM00372_PT	patient		NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000100675	Not Specified	xenograft	P2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00269	Not Specified	xenograft	P1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM01098	Not Specified	xenograft	P1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000100365	J000100365_PT	patient		NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM01302	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000101220	Not Specified	xenograft	P2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000102326	Not Specified	xenograft	P2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000111615	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000093018	Not Specified	xenograft	P1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00020	TM00020_PT	patient		NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00065	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000100646	Not Specified	xenograft	P1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000117663	Not Specified	xenograft	P1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00164	Not Specified	xenograft	P1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000100675	Not Specified	xenograft	P1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00026	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM01144	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000106531	Not Specified	xenograft	P5	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000106536	Not Specified	xenograft	P4	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00351	Not Specified	xenograft	P2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00157	Not Specified	xenograft	P1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000098169	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM01479	Not Specified	xenograft	P2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM01355	Not Specified	xenograft	P3	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00196	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000117590	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00366	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000100646	Not Specified	xenograft	P2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00021	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM01355	Not Specified	xenograft	P2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
J000077712	Not Specified	xenograft	P1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00096	Not Specified	xenograft	P2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00893	TM00893_PT	patient		NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM01618	Not Specified	xenograft	P1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
TM00390	Not Specified	xenograft	P0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	Not Specified
